date,dh15t10y,dh15t2y,dusgg10yr,dusgg2yr,dvix,expcttg,expcttg_ttdm,gmxn02yr,gmxn02yr_ttdm,gmxn02yr_ttwd,gmxn05yr,gmxn05yr_ttdm,gmxn05yr_ttwd,gmxn10yr,gmxn10yr_ttdm,gmxn10yr_ttwd,gmxn30yr,gmxn30yr_ttdm,gmxn30yr_ttwd,iclmsurp,idx04,idx11,levelwti,melhsfx,merhs,mpsw28t,mpsw28t_ttdm,mpsw28t_ttwd,mpswc,mpswc_ttdm,mpswc_ttwd,mxibtiie,mxibtiiecmp,mxonbr,nfpaysurp,regular,svyshkav,trmsprd10_1,trmsprd10_2,unempsurp,usdmxn,usdmxn_ttdm,usdmxn_ttwd,usjobsday,p0gmxn02yr,p0gmxn05yr,p0gmxn10yr,p0gmxn30yr,p0usdmxn,p1gmxn02yr,p1gmxn05yr,p1gmxn10yr,p1gmxn30yr,p1usdmxn,p2gmxn02yr,p2gmxn05yr,p2gmxn10yr,p2gmxn30yr,p2usdmxn,p3gmxn02yr,p3gmxn05yr,p3gmxn10yr,p3gmxn30yr,p3usdmxn,p4gmxn02yr,p4gmxn05yr,p4gmxn10yr,p4gmxn30yr,p4usdmxn,p5gmxn02yr,p5gmxn05yr,p5gmxn10yr,p5gmxn30yr,p5usdmxn,p6gmxn02yr,p6gmxn05yr,p6gmxn10yr,p6gmxn30yr,p6usdmxn,p7gmxn02yr,p7gmxn05yr,p7gmxn10yr,p7gmxn30yr,p7usdmxn,p8gmxn02yr,p8gmxn05yr,p8gmxn10yr,p8gmxn30yr,p8usdmxn,p9gmxn02yr,p9gmxn05yr,p9gmxn10yr,p9gmxn30yr,p9usdmxn,p10gmxn02yr,p10gmxn05yr,p10gmxn10yr,p10gmxn30yr,p10usdmxn
12-Apr-02,-4,-6,-5,-5.9,-.88,,,,-15.4,,,-16,,,-9.3,,,,,0,0,0,23.47,,,,,,,-27.5,,0,0,,0,1,0,,,0,,58.075991,,,-15.4,-16,-9.3,,58.075991,-40.9,-39.8,-33.1,,82.084296,-43.2,-42.6,-48.7,,68.450285,-40.9,-38.4,-45.3,,153.22419,-41.1,-33.6,-43.5,,147.81147,-52.1,-37.4,-48,,188.33563,-52.1,-40,-49.8,,169.44479,-63.7,-52.2,-56.7,,183.4814,-52.4,-52.2,-57.7,,201.26876,-42,-43.3,-55.3,,247.47559,-47,-45.5,-55.7,,244.79499
23-Sep-02,-9,-1,-9.07,-2.5,.7,,,,18.3,,,-7.2,,,-18.1,,,,,0,0,0,30.71,,,,,,,50,,42.5,42.5,,0,1,0,,,0,,-29.697449,,,18.3,-7.2,-18.1,,-29.697449,3.7,-8.6,-11.5,,-6.3215738,-29.6,-51.3,-46.4,,-60.950526,-76.5,-85,-80.2,,-144.93717,-53.2,-55.8,-59.4,,-98.190867,-43.5,-37.8,-40.7,,-77.103642,-96.8,-82.5,-62.3,,-164.68539,-96.4,-71.3,-63.8,,-177.04786,-87.4,-46.9,-49.9,,-117.84689,-83.8,-42.7,-50.5,,-108.70204,-31.1,-24.8,-23.3,,-88.377324
6-Dec-02,-4,-8,-5.43,-11.34,-1.22,,,,9.4,,,3.5,,,2.8,,,,,0,0,0,26.93,,,,,,,19,,24,24,,-65,1,0,,,.16078,,-71.747873,,1,9.4,3.5,2.8,,-71.747873,9,2.2,1.7,,-70.278474,-4.1,-9.7,-6,,-99.216376,-12,-18.1,-17,,-111.9953,-3.6,-3.5,.6,,-59.509468,-17.1,-28.8,-27.4,,-112.09366,-24.6,-34.6,-46.4,,-79.588321,-29,-43.6,-52.3,,-22.883862,-26.3,-40.2,-49.3,,-116.42258,-23.9,-39.6,-51.1,,-95.778684,-32.2,-52.8,-70,,-86.846212
10-Jan-03,-3,-8,-4.7,-9.72,.07,,,,3.8,,,0,,,0,,,,,0,0,0,31.68,,,,,,,1,,15,15,,-121,1,0,,,.026294,,112.08871,,1,3.8,0,0,,112.08871,4.7,0,3.5,,78.289497,3.1,0,4.8,,27.757855,7.5,0,5,,63.06155,11,0,10.1,,93.969067,18.1,0,12.7,,168.70217,30.1,0,32.7,,194.11634,33.6,0,32.6,,379.92345,33.9,0,29.8,,349.88855,20,0,8.9,,283.02662,24.4,0,4.2,,398.17752
24-Jan-03,-4,-3,-.77,-.04,3.98,,,,4.4,,,0,,,-4.7,,,,,0,0,0,33.28,,,,,,,-1,,-6,-6,,0,1,0,,,0,,115.15091,,,4.4,0,-4.7,,115.15091,5.7,0,10.4,,157.156,2.5,0,6.1,,192.68099,1.1,0,10.3,,191.49276,-8.6,0,-1,,194.05185,-10,0,-1,,160.64083,-17.1,0,-11.1,,158.53173,-13.9,0,-4.5,,205.19452,-13.9,0,-4.5,,110.72874,-26.9,0,-19.5,,158.99027,-18.8,0,-9.9,,260.7224
7-Feb-03,-1,-5,-1.56,-4.03,.66,,,,8.1,,,0,,,9.6,,,,,0,0,0,35.12,,,,,,,26,,18.75,18.75,,75,1,0,,,-.307382,,101.73213,,1,8.1,0,9.6,,101.73213,19,0,20,,51.223528,9.1,0,11.6,,61.254534,20.9,0,17.4,,43.465399,19.8,0,18.5,,28.845513,9.2,0,5.4,,-79.179164,.4,0,-5.2,,-115.29366,-2.9,0,-.9,,-86.114138,-.8,0,6.3,,-74.281348,3.4,0,19.7,,49.398628,4.7,0,18.4,,30.034177
21-Feb-03,5,4,2.09,1.63,-.91,,,,1.3,,,0,,,-1.3,,,,,0,0,0,35.58,,,,,,,7.5,,9.75,9.75,,0,1,0,,,0,,-19.36445,,,1.3,0,-1.3,,-19.36445,11,0,5.5,,28.703576,18,0,19.1,,83.150171,18.6,0,22.3,,69.566289,15.4,0,19.6,,65.940801,7.8,0,8.6,,52.333506,3.3,0,5.9,,133.43079,20.7,0,31.9,,148.54673,34.7,0,48.1,,244.73358,30.4,0,43.4,,196.08471,16.1,0,24,,130.09861
14-Mar-03,-2,-3,-4.54,-6.48,-.78,,,,-10,,,0,,,-12.8,,,,,0,0,0,35.38,,,,,,,4,,-13,-13,,0,1,0,,,0,,48.234928,,,-10,0,-12.8,,48.234928,-13,0,-19.9,,-72.0957,-11.2,0,-15.6,,38.147811,-2.2,0,-13.5,,-13.363134,-7,0,-17.1,,-35.520739,-7,0,-17.1,,-135.46862,-16.2,0,-22.6,,-82.304991,-25.3,0,-36.5,,-140.04402,-33.9,0,-44.9,,-123.24671,-38.1,0,-52,,-118.11982,-33.2,0,-47.9,,-121.38208
28-Mar-03,-3,-6,-2.5,-7.17,-.21,,,,4.9,,,0,,,4.1,,,,,0,0,0,30.16,,,,,,,14,,18,18,,0,1,0,,,0,,-3.2622626,,,4.9,0,4.1,,-3.2622626,11.7,0,14.6,,36.743373,5.3,0,10.2,,1.770497,-2.3,0,-1.3,,-79.528862,-2.5,0,-6,,-38.749786,-9.4,0,-7.1,,-3.2622626,-8.5,0,-14.7,,-17.722232,-3.5,0,-13.9,,61.781639,-8.5,0,-5.4,,36.27911,-6.7,0,2.4,,-9.7899824,-6.6,0,-6.1,,-100.68692
11-Apr-03,5,5,2.91,3.24,-1.16,,,,.1,,,0,,,-8.5,,,,,0,0,0,28.14,,,,,,,-12.5,,-18,-18,,0,1,0,,,0,,-90.896938,,,.1,0,-8.5,,-90.896938,-6.8,0,-10.5,,-58.47286,-8.4,0,-10.6,,-97.959584,-39.2,0,-15.1,,-93.721398,-39.2,0,-15.1,,-176.45441,-39.2,0,-15.1,,-180.06294,-46,0,-19.4,,-177.87867,-45,0,-15.9,,-146.59161,-59.1,0,-19.9,,-244.76218,-72,0,-28.7,,-281.92199,-82.4,0,-35.4,,-291.71377
